trial,tau,detected,c_at_detection,rdiv_at_detection,gamma_at_detection,best_corr_at_detection
1,0.4808,False,NaN,NaN,NaN,NaN
2,0.4514,False,NaN,NaN,NaN,NaN
3,0.5396,False,NaN,NaN,NaN,NaN
4,0.3861,False,NaN,NaN,NaN,NaN
5,0.4171,False,NaN,NaN,NaN,NaN
6,0.4563,False,NaN,NaN,NaN,NaN
7,0.4188,False,NaN,NaN,NaN,NaN
8,0.4416,False,NaN,NaN,NaN,NaN
9,0.4531,False,NaN,NaN,NaN,NaN
10,0.3763,False,NaN,NaN,NaN,NaN
11,0.4857,False,NaN,NaN,NaN,NaN
12,0.4318,False,NaN,NaN,NaN,NaN
13,0.5461,False,NaN,NaN,NaN,NaN
14,0.4710,False,NaN,NaN,NaN,NaN
15,0.4514,False,NaN,NaN,NaN,NaN
16,0.4384,False,NaN,NaN,NaN,NaN
17,0.3763,False,NaN,NaN,NaN,NaN
18,0.4808,False,NaN,NaN,NaN,NaN
19,0.4318,False,NaN,NaN,NaN,NaN
20,0.4220,False,NaN,NaN,NaN,NaN
21,0.4433,False,NaN,NaN,NaN,NaN
22,0.4139,False,NaN,NaN,NaN,NaN
23,0.4971,False,NaN,NaN,NaN,NaN
24,0.4220,False,NaN,NaN,NaN,NaN
25,0.2473,False,NaN,NaN,NaN,NaN
26,0.4106,False,NaN,NaN,NaN,NaN
27,0.3600,False,NaN,NaN,NaN,NaN
28,0.3110,False,NaN,NaN,NaN,NaN
29,0.4220,False,NaN,NaN,NaN,NaN
30,0.5592,False,NaN,NaN,NaN,NaN
31,0.3502,False,NaN,NaN,NaN,NaN
32,0.4596,False,NaN,NaN,NaN,NaN
33,0.4139,False,NaN,NaN,NaN,NaN
34,0.4090,False,NaN,NaN,NaN,NaN
35,0.3910,False,NaN,NaN,NaN,NaN
36,0.4759,False,NaN,NaN,NaN,NaN
37,0.5200,False,NaN,NaN,NaN,NaN
38,0.4171,False,NaN,NaN,NaN,NaN
39,0.4433,False,NaN,NaN,NaN,NaN
40,0.4694,False,NaN,NaN,NaN,NaN
41,0.3714,False,NaN,NaN,NaN,NaN
42,0.4727,False,NaN,NaN,NaN,NaN
43,0.3796,False,NaN,NaN,NaN,NaN
44,0.3339,False,NaN,NaN,NaN,NaN
45,0.4400,False,NaN,NaN,NaN,NaN
46,0.4629,False,NaN,NaN,NaN,NaN
47,0.3812,False,NaN,NaN,NaN,NaN
48,0.3078,False,NaN,NaN,NaN,NaN
49,0.3943,False,NaN,NaN,NaN,NaN
50,0.4857,False,NaN,NaN,NaN,NaN
51,0.4384,False,NaN,NaN,NaN,NaN
52,0.3208,False,NaN,NaN,NaN,NaN
53,0.5135,False,NaN,NaN,NaN,NaN
54,0.4090,False,NaN,NaN,NaN,NaN
55,0.3894,False,NaN,NaN,NaN,NaN
56,0.4351,False,NaN,NaN,NaN,NaN
57,0.4155,False,NaN,NaN,NaN,NaN
58,0.4433,False,NaN,NaN,NaN,NaN
59,0.4710,False,NaN,NaN,NaN,NaN
60,0.3780,False,NaN,NaN,NaN,NaN
61,0.4416,False,NaN,NaN,NaN,NaN
62,0.4024,False,NaN,NaN,NaN,NaN
63,0.4286,False,NaN,NaN,NaN,NaN
64,0.3518,False,NaN,NaN,NaN,NaN
65,0.3535,False,NaN,NaN,NaN,NaN
66,0.4106,False,NaN,NaN,NaN,NaN
67,0.4237,False,NaN,NaN,NaN,NaN
68,0.3322,False,NaN,NaN,NaN,NaN
69,0.4220,False,NaN,NaN,NaN,NaN
70,0.4971,False,NaN,NaN,NaN,NaN
71,0.4727,False,NaN,NaN,NaN,NaN
72,0.4629,False,NaN,NaN,NaN,NaN
73,0.4302,False,NaN,NaN,NaN,NaN
74,0.3045,False,NaN,NaN,NaN,NaN
75,0.3224,False,NaN,NaN,NaN,NaN
76,0.3780,False,NaN,NaN,NaN,NaN
77,0.4792,False,NaN,NaN,NaN,NaN
78,0.4694,False,NaN,NaN,NaN,NaN
79,0.3763,False,NaN,NaN,NaN,NaN
80,0.4465,False,NaN,NaN,NaN,NaN
81,0.4808,False,NaN,NaN,NaN,NaN
82,0.3829,False,NaN,NaN,NaN,NaN
83,0.4792,False,NaN,NaN,NaN,NaN
84,0.4400,False,NaN,NaN,NaN,NaN
85,0.4416,False,NaN,NaN,NaN,NaN
86,0.4857,False,NaN,NaN,NaN,NaN
87,0.4318,False,NaN,NaN,NaN,NaN
88,0.4351,False,NaN,NaN,NaN,NaN
89,0.2833,False,NaN,NaN,NaN,NaN
90,0.3714,False,NaN,NaN,NaN,NaN
91,0.3861,False,NaN,NaN,NaN,NaN
92,0.4449,False,NaN,NaN,NaN,NaN
93,0.4433,False,NaN,NaN,NaN,NaN
94,0.5069,False,NaN,NaN,NaN,NaN
95,0.4824,False,NaN,NaN,NaN,NaN
96,0.3469,False,NaN,NaN,NaN,NaN
97,0.4122,False,NaN,NaN,NaN,NaN
98,0.3992,False,NaN,NaN,NaN,NaN
99,0.3616,False,NaN,NaN,NaN,NaN
100,0.6000,False,NaN,NaN,NaN,NaN
